All iteration feature vectors
9.496540525545443145e+00,6.797709755776711660e+00,9.990000000000000000e+02,2.200000000000000000e+02,3.644127368927001953e+00,2.696334838867187500e+00,1.850843203679062299e+01,5.446954395865391874e+00,5.679662579217864327e+00,3.816325141736664150e+00,1.004405641161734366e+03,1.318262599950561196e+02,7.252850467895885913e+02,4.168167203069589277e+01,1.393836891211934699e+03,1.349026798221695458e+02
9.471105507603645890e+00,6.919210258962793070e+00,9.990000000000000000e+02,2.160000000000000000e+02,2.608328342437744141e+00,2.929927825927734375e+00,1.846311193637018633e+01,5.404408042270918422e+00,3.439343910871815346e+00,4.295318621433288797e+00,1.017202764753069459e+03,1.330877273895694088e+02,7.083558958937159105e+02,4.208345739065286040e+01,1.298048848101831481e+03,1.471184369514960792e+02
9.453365655182297544e+00,6.853521144047212132e+00,9.990000000000000000e+02,2.150000000000000000e+02,3.139907360076904297e+00,1.597822308540344238e+00,1.920201672032215257e+01,5.233706786965258928e+00,4.542631059100470381e+00,2.334150348108423589e+00,1.035306429194972225e+03,1.212409841690602121e+02,7.151790080049246399e+02,4.173812549140237849e+01,1.363129838562116674e+03,1.204852739270160384e+02
9.476773291902132357e+00,6.838502648767229353e+00,9.990000000000000000e+02,2.260000000000000000e+02,2.734491825103759766e+00,2.506921887397766113e+00,1.872181935285846777e+01,5.438270775707787053e+00,3.691876441500692607e+00,3.496771846572317877e+00,1.084804456264612327e+03,1.334084897785348005e+02,7.153183347320123175e+02,4.070461022536436246e+01,1.307840962652818462e+03,1.311396710763063425e+02
9.451604498032908808e+00,6.696261772237369847e+00,9.990000000000000000e+02,2.060000000000000000e+02,2.836866378784179688e+00,2.576470375061035156e+00,1.929775384553717998e+01,5.552282072070235053e+00,3.901130999640729957e+00,3.486223990329536893e+00,1.015446930694733737e+03,1.143111478215698895e+02,7.147613297378816242e+02,3.831768869115049370e+01,1.329710992891939441e+03,1.129683953638470655e+02
9.512231695568647893e+00,6.754015814503714132e+00,9.990000000000000000e+02,2.170000000000000000e+02,2.598840713500976562e+00,3.421383976936340332e+00,1.824854860810090784e+01,6.125247595031061643e+00,3.420595392843572391e+00,5.417184842483556473e+00,1.034642177978334757e+03,1.273123078054508568e+02,7.223162337608725920e+02,4.158092299875545450e+01,1.343188883189879334e+03,1.260969537175819823e+02
9.484026058553856942e+00,6.775503038534826494e+00,9.990000000000000000e+02,2.190000000000000000e+02,2.417602062225341797e+00,2.229578733444213867e+00,1.866259142579203711e+01,5.689898788148571640e+00,3.069088697882345951e+00,3.149201648055388159e+00,1.005009356943317357e+03,1.237738915932380621e+02,7.164578587131655922e+02,4.252535214276674935e+01,1.272643741557498970e+03,1.123079125029775440e+02
9.428837694506318812e+00,6.781272377656465622e+00,9.990000000000000000e+02,2.160000000000000000e+02,4.849550724029541016e+00,1.932533502578735352e+00,1.937304126993624820e+01,5.609408978461837059e+00,8.719357271411762866e+00,3.027242327325505578e+00,1.038620261364295402e+03,1.290364184568114183e+02,7.181261329475270259e+02,4.076848150821136585e+01,1.437613129365767236e+03,1.291148353360830470e+02
9.474805809433291870e+00,6.726408755248921345e+00,9.990000000000000000e+02,2.120000000000000000e+02,2.787503242492675781e+00,2.134949803352355957e+00,1.836501527727995509e+01,5.249629177692503035e+00,3.799752291491889533e+00,3.364672466232236037e+00,1.033617252539580477e+03,1.235412321928254613e+02,7.082294577139629155e+02,3.933126526484401353e+01,1.309647312309315566e+03,1.192020798151228576e+02
9.488655727034680964e+00,6.759773226685580561e+00,9.990000000000000000e+02,2.090000000000000000e+02,3.707856893539428711e+00,1.949523210525512695e+00,1.909809886151837688e+01,5.858980231031886809e+00,5.829303398908165512e+00,3.633498246506343676e+00,1.031819906723969098e+03,1.219398927148543947e+02,7.324697851525216947e+02,4.128615087998568356e+01,1.361905475930487000e+03,1.254352592868457350e+02
